"Plotname","easting","northing","richness","altitude","TCI"
"SP240",229.9035,3173.0886,11,0.0753,1.09
"SP241",230.1035,3172.4886,19,0.0415,1.06
"SP242",230.0035,3172.7886,9,0.0554,1.16
"SP243",230.2035,3171.6886,8,0.0893,1.14
"SP244",228.4035,3173.7886,7,0.2436,1.06
"SP245",228.4035,3174.4886,9,0.296,1.03
"SP246",227.2035,3173.2886,11,0.3833,1.07
"SP247",228.0035,3170.6886,18,0.5276,1.16
"SP248",228.0035,3170.4886,10,0.5375,1.19
"SP249",228.0035,3169.0886,15,0.4851,1.08
"SP250",228.5035,3170.7886,22,0.3703,1.02
"SP251",229.7035,3171.1886,12,0.1634,1.03
"SP252",229.9035,3170.7886,12,0.1303,1.01
"SP253",230.3035,3170.5886,11,0.0628,1.19
"SP254",218.1035,3164.8886,14,0.5273,1.04
"SP255",218.1035,3164.6886,10,0.5286,1.03
"SP256",218.1035,3164.3886,14,0.4988,1.07
"SP257",218.2035,3164.0886,15,0.4953,1.06
"SP258",218.0035,3163.5886,6,0.4502,1.04
"SP259",218.0035,3163.2886,7,0.4205,1.15
"SP260",217.6035,3163.0886,10,0.2189,1.68
"SP261",217.6035,3161.7886,11,0.0155,1.04
"SP262",214.7035,3166.3886,7,0.0068,1.07
"SP263",214.2035,3167.9886,5,6e-04,1.01
"SP264",216.9035,3167.2886,10,0.4322,1.02
"SP265",220.9035,3154.9886,13,0.5901,1.08
"SP266",220.1035,3155.8886,12,0.4034,1.1
"SP267",219.7035,3156.6886,14,0.3595,1.07
"SP269",219.6035,3157.0886,14,0.3563,1.1
"SP270",219.6035,3157.2886,16,0.3651,1.26
"SP271",219.3035,3156.9886,9,0.2507,1.06
"SP272",219.4035,3155.9886,8,0.1217,1.21
"SP273",219.0035,3156.9886,9,0.0999,1.15
"SP274",218.6035,3155.3886,2,0.0028,1.02
"SP275",219.6035,3152.8886,7,0.0151,1.02
"SP276",221.2035,3151.2886,6,0.0146,1.2
"SP277",221.8035,3151.2886,4,0.0343,1.02
"SP278",221.6035,3150.9886,5,8e-04,1
"SP279",222.4035,3151.5886,4,0.0321,1.01
